timestamp,emotion,AUs
2025-11-23T20:41:56.178Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:56.472Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:56.741Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:57.017Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:57.276Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:57.562Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lip Tightener', 'Lid Tightener']"
2025-11-23T20:41:57.827Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:58.086Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:58.363Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:58.644Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:58.894Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:59.147Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:59.420Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:59.712Z,neutral,"['Looking Down', 'Blink', 'Lid Tightener']"
2025-11-23T20:41:59.972Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:00.245Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:00.523Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:00.809Z,neutral,"['Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:01.082Z,neutral,"['Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:01.354Z,neutral,"['Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:01.621Z,neutral,"['Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:01.894Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:02.172Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:02.458Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:02.730Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:03.008Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:03.291Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:03.584Z,neutral,"['Looking Down', 'Brow Inner Raiser', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:03.862Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:04.184Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:04.452Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:04.724Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
2025-11-23T20:42:04.999Z,neutral,"['Looking Down', 'Brow Outer Raiser', 'Blink', 'Lid Tightener']"
